Hipótesis;count;mean;std;min;25%;50%;75%;max
DD;50.0;0.5251995791399999;0.33472637708647784;-0.008425765;0.17311978749999998;0.545791785;0.754025025;1.0000002
DN;50.0;0.490993002534;0.3413988470982442;-0.09512384;0.13779405249999999;0.47806491500000003;0.7383357;1.0000002
ND;50.0;0.55335249722;0.3308256259253008;-0.047361564;0.281831185;0.588094535;0.754025025;1.0000002
NN;50.0;0.5872653937599999;0.3112308768729044;0.026994314;0.3328386775;0.655055535;0.774414195;1.0000002
